State,Latter-day Saint,Episcopal,Lutheran,Disciples,Congregational,Reformed,Bretheren ,Presbyterian,Roman Catholic,Methodist,Baptist,Other
Alabama,No Data,No Data,No Data,2.2,No Data,No Data,No Data,3.7,5.1,30.9,54.9,3.2
Arizona,13.7,2.4,No Data,No Data,No Data,No Data,No Data,6.4,66.2,5.9,No Data,5.4
Arkansas,No Data,No Data,No Data,5,No Data,No Data,No Data,5,7.6,33.5,45.3,3.6
California,No Data,No Data,No Data,No Data,3.9,No Data,No Data,6.2,58,10.6,4.1,17.2
Colorado,No Data,No Data,No Data,No Data,4.4,No Data,No Data,9.2,48.5,13.5,6.3,18.1
Connecticut,No Data,7.5,No Data,No Data,13,No Data,No Data,No Data,59.6,6.9,3.3,9.7
Delaware,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7.3,34,45.5,No Data,13.2
District of Columbia,No Data,10,No Data,No Data,No Data,No Data,No Data,6.3,32,14.7,27.1,9.9
Florida,No Data,3.9,No Data,No Data,No Data,No Data,No Data,3.2,7.9,37.2,41.6,6.2
Georgia,No Data,No Data,No Data,1.3,No Data,No Data,No Data,2.3,1.9,33.9,57.9,2.7
Idaho,43.5,No Data,No Data,4.4,No Data,No Data,No Data,5.1,24.2,7.9,No Data,14.9
Illinois,No Data,No Data,9.8,No Data,No Data,No Data,No Data,5.6,44.9,12.7,7.4,19.6
Indiana,No Data,No Data,No Data,12.6,No Data,No Data,No Data,6.3,18.6,24.9,9.9,27.7
Iowa,No Data,No Data,14.9,7.3,No Data,No Data,No Data,7.6,26.3,20.8,No Data,23.1
Kansas,No Data,No Data,No Data,9.5,No Data,No Data,No Data,8.9,20.3,26.5,10.1,24.7
Kentucky,No Data,No Data,No Data,15.9,No Data,No Data,No Data,5.6,19.3,18.2,36.3,4.7
Louisiana,No Data,No Data,No Data,1,No Data,No Data,No Data,1.7,61.3,10.2,23.8,2
Maine,No Data,2.6,No Data,No Data,9.9,No Data,No Data,No Data,53.3,9.4,15.4,9.4
Maryland,No Data,7.4,6.8,No Data,No Data,No Data,No Data,No Data,35.3,29,6.5,15
Massachusetts,No Data,3.3,No Data,No Data,7.6,No Data,No Data,No Data,69.2,4.2,5.2,10.5
Michigan,No Data,No Data,10.8,No Data,No Data,No Data,No Data,No Data,50.1,13.1,5.1,20.9
Minnesota,No Data,No Data,32,No Data,No Data,No Data,No Data,3.3,45.3,5.7,2.9,10.8
Mississippi,No Data,No Data,No Data,1.5,No Data,No Data,No Data,3.4,4.3,32.3,56.5,2
Missouri,No Data,No Data,No Data,13.9,No Data,No Data,No Data,6,31.9,17.6,18.2,12.4
Montana,No Data,3.3,3.1,No Data,No Data,No Data,No Data,4.1,73.1,7.1,No Data,9.3
Nebraska,No Data,No Data,17.2,5.7,No Data,No Data,No Data,6.9,29.1,18.6,No Data,22.5
Nevada,7.4,8.1,No Data,No Data,No Data,No Data,No Data,3.5,66.7,4.1,No Data,10.2
New Hampshire,No Data,2.6,No Data,No Data,10,No Data,No Data,No Data,63,6.6,8.4,9.4
New Jersey,No Data,6.3,No Data,No Data,No Data,No Data,No Data,9.3,51.5,14.3,7.6,11
New Mexico,No Data,No Data,No Data,0.8,No Data,No Data,No Data,2.1,88.7,4.8,1.8,1.8
New York,No Data,5.4,No Data,No Data,No Data,No Data,No Data,5.6,63.6,8.7,4.9,11.8
North Carolina,No Data,1.7,2.2,No Data,No Data,No Data,No Data,6.8,No Data,33.6,48.6,7.1
North Dakota,No Data,No Data,37.7,No Data,3.3,No Data,No Data,4.2,38.5,6.4,No Data,9.9
Ohio,No Data,No Data,7.6,No Data,No Data,No Data,No Data,8,32,20.4,5.3,26.7
Oklahoma,No Data,No Data,No Data,12.6,No Data,No Data,No Data,6.2,14.2,29.7,27.1,10.2
Oregon,No Data,No Data,No Data,8.7,No Data,No Data,No Data,9.1,29.4,18.2,9.4,25.2
Pennsylvania,No Data,No Data,11.3,No Data,No Data,6.1,No Data,10.8,40.8,12.2,No Data,18.8
Rhode Island,No Data,5.8,No Data,No Data,4.4,No Data,No Data,No Data,74,3.6,7.5,4.7
South Carolina,No Data,No Data,1.9,No Data,No Data,No Data,No Data,5.3,1.5,37.4,51.3,2.6
South Dakota,No Data,4.4,27.8,No Data,5.3,No Data,No Data,No Data,37.7,10,No Data,14.8
Tennessee,No Data,No Data,No Data,8.1,No Data,No Data,No Data,11.4,2.5,34.6,39.7,3.7
Texas,No Data,No Data,No Data,6,No Data,No Data,No Data,5.1,25.1,25.9,32.7,5.2
Utah,87.7,No Data,No Data,No Data,0.7,No Data,No Data,1.1,4.8,0.9,No Data,4.8
Vermont,No Data,3.8,No Data,No Data,15,No Data,No Data,No Data,55.9,12,6.8,6.5
Virginia,No Data,3.6,No Data,No Data,No Data,No Data,No Data,5,3.6,25.3,52.4,10.1
Washington,No Data,No Data,7,No Data,No Data,No Data,No Data,8.7,39.1,16.5,6.7,22
West Virginia,No Data,No Data,No Data,No Data,No Data,No Data,6.8,6.5,13.3,38.4,22.2,12.8
Wisconsin,No Data,No Data,28.4,No Data,No Data,No Data,No Data,No Data,50.5,5.7,2.2,13.2
Wyoming,21.8,7.3,No Data,No Data,No Data,No Data,No Data,4.1,42.9,6.9,No Data,17